SEQPRODUTO;DESCCOMPLETA;EMB;CODACESSO;COMPRADOR
1123352;CAR BOV RESF FRIGOL ACEM FRAC KG;1 - KG;7485;PERECIVEIS 3
1123363;CAR BOV RESF FRIGOL ARANHA KG;1 - KG;7487;PERECIVEIS 3
1123331;CAR BOV RESF FRIGOL CONTRA FILE FRAC KG;1 - KG;7483;PERECIVEIS 3
1123378;CAR BOV RESF FRIGOL CONTRA FILE KG;15 - CX;7492;PERECIVEIS 3
1123413;CAR BOV RESF FRIGOL CORDAO FILE;1 - KG;7491;PERECIVEIS 3
1123409;CAR BOV RESF FRIGOL COXAO DURO FRAC KG;1 - KG;7495;PERECIVEIS 3
1123362;CAR BOV RESF FRIGOL COXAO MOLE FRAC KG;1 - KG;7490;PERECIVEIS 3
1123415;CAR BOV RESF FRIGOL FILE MIGNON KG;1 - KG;7496;PERECIVEIS 3
1123367;CAR BOV RESF FRIGOL FRALDINHA KG;1 - KG;7486;PERECIVEIS 3
1123376;CAR BOV RESF FRIGOL LAGARTO KG;1 - KG;7484;PERECIVEIS 3
1123400;CAR BOV RESF FRIGOL PALETA FRAC KG;10 - CX;7493;PERECIVEIS 3
1123372;CAR BOV RESF FRIGOL PATINHO FRAC KG;1 - KG;7489;PERECIVEIS 3
1123404;CAR BOV RESF FRIGOL PEITO FRAC KG;1 - KG;7494;PERECIVEIS 3
1058591;CAR BOV RESF GOLD Q CORACAO ALCATRA;1 - KG;6215;PERECIVEIS 3
1058614;CAR BOV RESF GOLD Q FILE COSTELA KG;1 - KG;6221;PERECIVEIS 3
1058585;CAR BOV RESF GOLD Q FILE MIGNON KG;1 - KG;6218;PERECIVEIS 3
1058613;CAR BOV RESF GOLD Q FRALDINHA KG;1 - KG;6220;PERECIVEIS 3
1058612;CAR BOV RESF GOLD Q MAMINHA KG;1 - KG;6219;PERECIVEIS 3
1058580;CAR BOV RESF GOLD Q PICANHA KG;1 - KG;6216;PERECIVEIS 3
1124377;CAR BOV RESF KYC ACEM FRAC KG;1 - KG;3037;PERECIVEIS 3
1124365;CAR BOV RESF KYC ACEM KG;1 - KG;4564;PERECIVEIS 3
1124382;CAR BOV RESF KYC ALCATRA FRAC KG;1 - KG;7508;PERECIVEIS 3
1124375;CAR BOV RESF KYC CAPA DE FILE KG;1 - KG;7501;PERECIVEIS 3
1124385;CAR BOV RESF KYC CHA DE DENTRO FRAC KG;1 - KG;7509;PERECIVEIS 3
1124386;CAR BOV RESF KYC CHA DE FORA FRAC KG;1 - KG;7505;PERECIVEIS 3
1124391;CAR BOV RESF KYC CONTRA FILE FRAC KG;1 - KG;7507;PERECIVEIS 3
1124376;CAR BOV RESF KYC CONTRA FILE KG;1 - UN;11243760001;PERECIVEIS 3
1124384;CAR BOV RESF KYC MUSCULO FRAC KG;1 - KG;7502;PERECIVEIS 3
1124378;CAR BOV RESF KYC PALETA FRAC KG;1 - KG;7503;PERECIVEIS 3
1124373;CAR BOV RESF KYC PALETA KG;1 - KG;7500;PERECIVEIS 3
1124390;CAR BOV RESF KYC PATINHO FRAC KG;1 - KG;7506;PERECIVEIS 3
1124380;CAR BOV RESF KYC PEITO FRAC KG;1 - KG;7510;PERECIVEIS 3
8279;CAR BOV RESF LAGARTO BI;1 - KG;2736;PERECIVEIS 3
63728;CAR BOV RESF LAGARTO CX KG;1 - KG;997;PERECIVEIS 3
88474;CAR BOV RESF LAGARTO DP KG;1 - KG;3114;PERECIVEIS 3
1507;CAR BOV RESF LAGARTO KG;1 - KG;15070001;PERECIVEIS 3
1507;CAR BOV RESF LAGARTO KG;1 - KG;2696;PERECIVEIS 3
1507;CAR BOV RESF LAGARTO KG;20 - CX;15070020;PERECIVEIS 3
1507;CAR BOV RESF LAGARTO KG;25 - CX;15070025;PERECIVEIS 3
8280;CAR BOV RESF LAGARTO PD;1 - KG;2716;PERECIVEIS 3
1054862;CAR BOV RESF MAFRIPAR PICANHA LN;1 - KG;6060;PERECIVEIS 3
1099432;CAR BOV RESF MAMINHA BALA DE PRATA KG;1 - KG;6990;PERECIVEIS 3
8330;CAR BOV RESF MAMINHA BI;1 - KG;3393;PERECIVEIS 3
63729;CAR BOV RESF MAMINHA CX KG;1 - KG;998;PERECIVEIS 3
88475;CAR BOV RESF MAMINHA DP KG;1 - KG;3115;PERECIVEIS 3
35893;CAR BOV RESF MAMINHA MONTANA KG;1 - KG;358930001;PERECIVEIS 3
35893;CAR BOV RESF MAMINHA MONTANA KG;1 - KG;4699;PERECIVEIS 3
1045120;CAR BOV RESF MARFRIG ACEM FAT KG;1 - KG;5599;PERECIVEIS 3
1050321;CAR BOV RESF MARFRIG ACEM KG;1 - KG;5789;PERECIVEIS 3
1052571;CAR BOV RESF MARFRIG ALCATRA C/MAMI;1 - KG;5891;PERECIVEIS 3
1045112;CAR BOV RESF MARFRIG ALCATRA KG;1 - KG;5621;PERECIVEIS 3
1045147;CAR BOV RESF MARFRIG ARANHA KG;1 - KG;5612;PERECIVEIS 3
1045133;CAR BOV RESF MARFRIG BANANINHA KG;1 - KG;5608;PERECIVEIS 3
1045125;CAR BOV RESF MARFRIG CAPA FILE KG;1 - KG;5602;PERECIVEIS 3
1045130;CAR BOV RESF MARFRIG CONTRA FILE KG;1 - KG;5607;PERECIVEIS 3
1045110;CAR BOV RESF MARFRIG COXAO DURO KG;1 - KG;5590;PERECIVEIS 3
1050324;CAR BOV RESF MARFRIG COXAO INATIVO;1 - KG;5793;PERECIVEIS 3
1050354;CAR BOV RESF MARFRIG COXAO MOLE INATIVO;1 - KG;5797;PERECIVEIS 3
1045148;CAR BOV RESF MARFRIG COXAO MOLE KG;1 - KG;5613;PERECIVEIS 3
1050325;CAR BOV RESF MARFRIG FAT KG INATIVO;1 - KG;5794;PERECIVEIS 3
1045146;CAR BOV RESF MARFRIG FILE COST NOIX KG;1 - KG;5611;PERECIVEIS 3
1045121;CAR BOV RESF MARFRIG FILE MIGNON KG;1 - KG;5600;PERECIVEIS 3
1071735;CAR BOV RESF MARFRIG FILE MIGNON KG MONTANA;1 - KG;6728;PERECIVEIS 3
1072058;CAR BOV RESF MARFRIG FILE MIGNON MONTANA KG;1 - KG;6697;PERECIVEIS 3
1045116;CAR BOV RESF MARFRIG FRALDINHA KG;1 - KG;5595;PERECIVEIS 3
1045129;CAR BOV RESF MARFRIG LAGARTO KG;1 - KG;5606;PERECIVEIS 3
1045117;CAR BOV RESF MARFRIG MAMINHA KG;1 - KG;5596;PERECIVEIS 3
1045113;CAR BOV RESF MARFRIG MUSCULO KG;1 - KG;5592;PERECIVEIS 3
1045119;CAR BOV RESF MARFRIG PALETA KG;1 - KG;5598;PERECIVEIS 3
1050357;CAR BOV RESF MARFRIG PAT KG INATIVO;1 - KG;5800;PERECIVEIS 3
1045111;CAR BOV RESF MARFRIG PATINHO KG;1 - KG;5591;PERECIVEIS 3
1050326;CAR BOV RESF MARFRIG PE FAT KG INATIVO;1 - KG;5795;PERECIVEIS 3
1045118;CAR BOV RESF MARFRIG PEITO KG;1 - KG;5597;PERECIVEIS 3
1045115;CAR BOV RESF MARFRIG PICANHA FAT KG;1 - KG;5594;PERECIVEIS 3
1045124;CAR BOV RESF MARFRIG PICANHA KG;1 - KG;5601;PERECIVEIS 3
1045145;CAR BOV RESF MARFRIG PREMIUM CONTRA FILE KG;1 - KG;5610;PERECIVEIS 3
1050355;CAR BOV RESF MARFRIG REC COX MOLE KG CAPA;1 - KG;5798;PERECIVEIS 3
1050327;CAR BOV RESF MARFRIG TO FAT KG INATIVO;1 - KG;5796;PERECIVEIS 3
99672;CAR BOV RESF MATURATTA CONTRA FILE KG;1 - KG;4093;PERECIVEIS 3
99672;CAR BOV RESF MATURATTA CONTRA FILE KG;1 - KG;996720001;PERECIVEIS 3
54191;CAR BOV RESF MATURATTA COST C/O 3 RIPAS;1 - KG;319;PERECIVEIS 3
54189;CAR BOV RESF MATURATTA CUPIM KG;1 - KG;317;PERECIVEIS 3
99673;CAR BOV RESF MATURATTA FILE COST;1 - KG;4113;PERECIVEIS 3
54186;CAR BOV RESF MATURATTA FRALDINHA;1 - KG;313;PERECIVEIS 3
54186;CAR BOV RESF MATURATTA FRALDINHA;1 - KG;541860001;PERECIVEIS 3
54190;CAR BOV RESF MATURATTA KG COST S/O;1 - KG;318;PERECIVEIS 3
54184;CAR BOV RESF MATURATTA KG MIOLO ALC;1 - KG;311;PERECIVEIS 3
54184;CAR BOV RESF MATURATTA KG MIOLO ALC;1 - KG;541840001;PERECIVEIS 3
54187;CAR BOV RESF MATURATTA MAMINHA KG;1 - KG;315;PERECIVEIS 3
54188;CAR BOV RESF MATURATTA PICANHA KG;1 - KG;316;PERECIVEIS 3
54192;CAR BOV RESF MATURATTA PONTA CAP ENTRECORTE;1 - KG;320;PERECIVEIS 3
8298;CAR BOV RESF MIOLO ALCATRA BI;1 - KG;2718;PERECIVEIS 3
63730;CAR BOV RESF MIOLO ALCATRA CX KG;1 - KG;999;PERECIVEIS 3
88490;CAR BOV RESF MIOLO ALCATRA DP KG;1 - KG;3122;PERECIVEIS 3
8300;CAR BOV RESF MIOLO ALCATRA PD;1 - KG;2717;PERECIVEIS 3
1636;CAR BOV RESF MIOLO DE ACEM KG;1 - KG;1082;PERECIVEIS 3
8338;CAR BOV RESF MIOLO DE ACEM PD;1 - KG;1096;PERECIVEIS 3
1637;CAR BOV RESF MIOLO DE PALETA KG;1 - KG;1083;PERECIVEIS 3
1071845;CAR BOV RESF MONTANA ACEM FAT KG;1 - KG;6739;PERECIVEIS 3
1071738;CAR BOV RESF MONTANA ALCATRA KG;1 - KG;10717380001;PERECIVEIS 3
1071738;CAR BOV RESF MONTANA ALCATRA KG;1 - KG;6690;PERECIVEIS 3
1071864;CAR BOV RESF MONTANA BABY BEEF KG;1 - KG;10718640001;PERECIVEIS 3
1071864;CAR BOV RESF MONTANA BABY BEEF KG;1 - KG;6746;PERECIVEIS 3
1071605;CAR BOV RESF MONTANA BANANINHA KG;1 - KG;6761;PERECIVEIS 3
1071662;CAR BOV RESF MONTANA CAPA FILE FRA KG;1 - KG;10716620001;PERECIVEIS 3
1071662;CAR BOV RESF MONTANA CAPA FILE FRA KG;1 - KG;6726;PERECIVEIS 3
1071743;CAR BOV RESF MONTANA CAPA FILE KG;1 - KG;10717430001;PERECIVEIS 3
1071743;CAR BOV RESF MONTANA CAPA FILE KG;1 - KG;6691;PERECIVEIS 3
1072102;CAR BOV RESF MONTANA CONT FILE FRA;1 - KG;6695;PERECIVEIS 3
1072101;CAR BOV RESF MONTANA CONT FILE FRA KG;1 - KG;6694;PERECIVEIS 3
1071676;CAR BOV RESF MONTANA CORDAO FILE;1 - KG;10716760001;PERECIVEIS 3
1071676;CAR BOV RESF MONTANA CORDAO FILE;1 - KG;6727;PERECIVEIS 3
1072084;CAR BOV RESF MONTANA COXAO DURO FR;1 - KG;6689;PERECIVEIS 3
1071765;CAR BOV RESF MONTANA COXAO DURO KG;1 - KG;6696;PERECIVEIS 3
1072089;CAR BOV RESF MONTANA COXAO MOLE FR;1 - KG;6688;PERECIVEIS 3
1071774;CAR BOV RESF MONTANA COXAO MOLE KG;1 - KG;6698;PERECIVEIS 3
1071834;CAR BOV RESF MONTANA FILE MIGNON KG;1 - KG;10718340001;PERECIVEIS 3
1071834;CAR BOV RESF MONTANA FILE MIGNON KG;1 - KG;6735;PERECIVEIS 3
1071851;CAR BOV RESF MONTANA FRALD PREMIUM KG;1 - KG;10718510001;PERECIVEIS 3
1071851;CAR BOV RESF MONTANA FRALD PREMIUM KG;1 - KG;6745;PERECIVEIS 3
1071784;CAR BOV RESF MONTANA FRALDINHA KG;1 - KG;10717840001;PERECIVEIS 3
1071784;CAR BOV RESF MONTANA FRALDINHA KG;1 - KG;6701;PERECIVEIS 3
35894;CAR BOV RESF MONTANA FRALDINHA KG PREMIUM;1 - KG;358940001;PERECIVEIS 3
35894;CAR BOV RESF MONTANA FRALDINHA KG PREMIUM;1 - KG;4700;PERECIVEIS 3
1072079;CAR BOV RESF MONTANA LAGARTO KG;1 - KG;6687;PERECIVEIS 3
1071828;CAR BOV RESF MONTANA MAMINHA KG;1 - KG;10718280001;PERECIVEIS 3
1071635;CAR BOV RESF MONTANA MAMINHA KG;1 - KG;6725;PERECIVEIS 3
1071828;CAR BOV RESF MONTANA MAMINHA KG;1 - KG;6732;PERECIVEIS 3
1071863;CAR BOV RESF MONTANA MAMINHA PREMI KG;1 - KG;10718630001;PERECIVEIS 3
1071863;CAR BOV RESF MONTANA MAMINHA PREMI KG;1 - KG;6741;PERECIVEIS 3
1071844;CAR BOV RESF MONTANA MUSCULO KG;1 - KG;6738;PERECIVEIS 3
1071837;CAR BOV RESF MONTANA PALETA FT KG;1 - KG;10718370001;PERECIVEIS 3
1071837;CAR BOV RESF MONTANA PALETA FT KG;1 - KG;6737;PERECIVEIS 3
1071737;CAR BOV RESF MONTANA PALETA KG;1 - KG;6730;PERECIVEIS 3
1071637;CAR BOV RESF MONTANA PATINHO FAT KG;1 - KG;6722;PERECIVEIS 3
1071763;CAR BOV RESF MONTANA PEITO KG;1 - KG;6731;PERECIVEIS 3
1071830;CAR BOV RESF MONTANA PICANHA FRAC;1 - KG;10718300001;PERECIVEIS 3
1071830;CAR BOV RESF MONTANA PICANHA FRAC;1 - KG;6733;PERECIVEIS 3
1071661;CAR BOV RESF MONTANA PICANHA KG;1 - KG;10716610001;PERECIVEIS 3
1071661;CAR BOV RESF MONTANA PICANHA KG;1 - KG;6724;PERECIVEIS 3
63731;CAR BOV RESF MUSCULO CX KG;1 - KG;1001;PERECIVEIS 3
88488;CAR BOV RESF MUSCULO DP KG;1 - KG;3120;PERECIVEIS 3
8296;CAR BOV RESF MUSCULO MO;1 - KG;1171;PERECIVEIS 3
8297;CAR BOV RESF MUSCULO PD;1 - KG;2719;PERECIVEIS 3
1045165;CAR BOV RESF NATURAFRIG ALCATRA MAM KG;1 - KG;5620;PERECIVEIS 3
1045163;CAR BOV RESF NATURAFRIG ARANHA KG;1 - KG;5619;PERECIVEIS 3
1045127;CAR BOV RESF NATURAFRIG BANANINHA KG;1 - KG;5604;PERECIVEIS 3
1045161;CAR BOV RESF NATURAFRIG CAPA FILE KG;1 - KG;5617;PERECIVEIS 3
1045160;CAR BOV RESF NATURAFRIG CONTR FILE KG;1 - KG;5615;PERECIVEIS 3
1045128;CAR BOV RESF NATURAFRIG COXAO DURO KG;1 - KG;5605;PERECIVEIS 3
1045159;CAR BOV RESF NATURAFRIG COXAO MOLE KG;1 - KG;5614;PERECIVEIS 3
1045162;CAR BOV RESF NATURAFRIG MIOLO ALCAT KG;1 - KG;5618;PERECIVEIS 3
1042526;CAR BOV RESF NAVICARNES CUPIM KG;1 - KG;5525;PERECIVEIS 3
1052353;CAR BOV RESF NUTRIAL ALCATRA KG;1 - KG;5854;PERECIVEIS 3
1059166;CAR BOV RESF NUTRIAL CAPA FILE KG;1 - KG;6229;PERECIVEIS 3
1052335;CAR BOV RESF NUTRIAL CONTRA FILE KG;1 - KG;5861;PERECIVEIS 3
1052354;CAR BOV RESF NUTRIAL COXAO DURO KG;1 - KG;5855;PERECIVEIS 3
1052330;CAR BOV RESF NUTRIAL CUPIM KG;1 - KG;5856;PERECIVEIS 3
1052331;CAR BOV RESF NUTRIAL FILE MIGNON KG;1 - KG;5857;PERECIVEIS 3
1052333;CAR BOV RESF NUTRIAL FRALDINHA KG;1 - KG;5859;PERECIVEIS 3
1052505;CAR BOV RESF NUTRIAL MUSCULO KG;1 - KG;5882;PERECIVEIS 3
1052499;CAR BOV RESF NUTRIAL PEITO KG;1 - KG;5875;PERECIVEIS 3
1052543;CAR BOV RESF NUTRIAL PICANHA KG;1 - KG;5886;PERECIVEIS 3
61545;CAR BOV RESF OSSO BUCO KG;1 - KG;532;PERECIVEIS 3
63732;CAR BOV RESF P CONTRA FILE NOIX CX KG;1 - KG;1002;PERECIVEIS 3
28469;CAR BOV RESF P CONTRA FILE NOIX KG;1 - KG;8525;PERECIVEIS 3
1071848;CAR BOV RESF PALATARE ARANHA KG;1 - KG;6744;PERECIVEIS 3
72182;CAR BOV RESF PALATARE COSTELA CX KG;1 - KG;1947;PERECIVEIS 3
72181;CAR BOV RESF PALATARE COSTELA KG VACUO;1 - KG;1945;PERECIVEIS 3
1071862;CAR BOV RESF PALATARE PICANHA B KG;1 - KG;10718620001;PERECIVEIS 3
1071862;CAR BOV RESF PALATARE PICANHA B KG;1 - KG;6742;PERECIVEIS 3
1071847;CAR BOV RESF PALATARE PICANHA FT;1 - KG;6740;PERECIVEIS 3
63733;CAR BOV RESF PALETA CX KG;1 - KG;1003;PERECIVEIS 3
88492;CAR BOV RESF PALETA DP KG;1 - KG;3125;PERECIVEIS 3
86649;CAR BOV RESF PALETA FRACIONADO KG;1 - KG;3085;PERECIVEIS 3
89209;CAR BOV RESF PALETA FRACIONADO PD;1 - KG;3190;PERECIVEIS 3
1618;CAR BOV RESF PALETA KG;1 - KG;16180001;PERECIVEIS 3
1618;CAR BOV RESF PALETA KG;1 - KG;3177;PERECIVEIS 3
1618;CAR BOV RESF PALETA KG;20 - CX;16180020;PERECIVEIS 3
1618;CAR BOV RESF PALETA KG;25 - CX;16180025;PERECIVEIS 3
8328;CAR BOV RESF PALETA MO;1 - KG;1174;PERECIVEIS 3
8329;CAR BOV RESF PALETA PD;1 - KG;3239;PERECIVEIS 3
15847;CAR BOV RESF PANTANEIRA KG COSTELA;1 - KG;5012;PERECIVEIS 3
15845;CAR BOV RESF PANTANEIRA KG FRALDINH;1 - KG;4992;PERECIVEIS 3
15844;CAR BOV RESF PANTANEIRA KG MAMINHA;1 - KG;4985;PERECIVEIS 3
15846;CAR BOV RESF PANTANEIRA KG PICANHA;1 - KG;5005;PERECIVEIS 3
8258;CAR BOV RESF PATINHO BI;1 - KG;2721;PERECIVEIS 3
63734;CAR BOV RESF PATINHO CX KG;1 - KG;1004;PERECIVEIS 3
88486;CAR BOV RESF PATINHO DP KG;1 - KG;3116;PERECIVEIS 3
88512;CAR BOV RESF PATINHO FRACIONADO KG;1 - KG;3128;PERECIVEIS 3
8261;CAR BOV RESF PATINHO MO;1 - KG;1172;PERECIVEIS 3
8267;CAR BOV RESF PATINHO PD;1 - KG;2720;PERECIVEIS 3
87344;CAR BOV RESF PEITO FRACIONADO KG;1 - KG;3098;PERECIVEIS 3
90185;CAR BOV RESF PEITO FRACIONADO PD;1 - KG;3215;PERECIVEIS 3
1099649;CAR BOV RESF PICANHA BALA DE PRATA KG;1 - KG;7044;PERECIVEIS 3
8319;CAR BOV RESF PICANHA BI;1 - KG;2727;PERECIVEIS 3
32889;CAR BOV RESF PICANHA CUBOS KG;1 - KG;9003;PERECIVEIS 3
63735;CAR BOV RESF PICANHA CX KG;1 - KG;1005;PERECIVEIS 3
88487;CAR BOV RESF PICANHA DP KG;1 - KG;3119;PERECIVEIS 3
72183;CAR BOV RESF PICANHA FAT VACUO KG;1 - KG;1948;PERECIVEIS 3
35895;CAR BOV RESF PICANHA MONTANA;1 - KG;358950001;PERECIVEIS 3
35895;CAR BOV RESF PICANHA MONTANA;1 - KG;4702;PERECIVEIS 3
8320;CAR BOV RESF PICANHA PD;1 - KG;3623;PERECIVEIS 3
1118091;CAR BOV RESF PLENA ACEM KG;1 - KG;7395;PERECIVEIS 3
1118095;CAR BOV RESF PLENA CONTRA FILE NOIX KG;1 - KG;7402;PERECIVEIS 3
1118085;CAR BOV RESF PLENA CONTRA FILE KG;1 - KG;7398;PERECIVEIS 3
1118114;CAR BOV RESF PLENA COXAO MOLE FRAC KG;1 - KG;7407;PERECIVEIS 3
1118087;CAR BOV RESF PLENA FRALDINHA ;1 - KG;7394;PERECIVEIS 3
1118084;CAR BOV RESF PLENA LAGARTO KG;1 - KG;7397;PERECIVEIS 3
1118093;CAR BOV RESF PLENA PALETA KG;1 - KG;7400;PERECIVEIS 3
1118081;CAR BOV RESF PLENA PATINHO FRAC;1 - KG;7396;PERECIVEIS 3
1118101;CAR BOV RESF PLENA PEITO FRAC;1 - KG;7406;PERECIVEIS 3
1118098;CAR BOV RESF PLENA PICANHA FAT VACUO FRAC KG;1 - KG;7404;PERECIVEIS 3
1118102;CAR BOV RESF PLENA PICANHA KG;1 - KG;7403;PERECIVEIS 3
1633;CAR BOV RESF PONTA DE AGULHA KG;1 - KG;540;PERECIVEIS 3
9554;CAR BOV RESF PONTA DE AGULHA PD;1 - KG;4319;PERECIVEIS 3
1054837;CAR BOV RESF QUALITY ACEM KG;1 - KG;6029;PERECIVEIS 3
1054836;CAR BOV RESF QUALITY ALCATR C/MAMIN;1 - KG;6028;PERECIVEIS 3
1054779;CAR BOV RESF QUALITY ARANHA KG;1 - KG;6030;PERECIVEIS 3
1054781;CAR BOV RESF QUALITY C FILE GRIL KG;1 - KG;6032;PERECIVEIS 3
1054777;CAR BOV RESF QUALITY CAPA DE FILE KG;1 - KG;6027;PERECIVEIS 3
1054840;CAR BOV RESF QUALITY CONTRA FILE KG;1 - KG;6034;PERECIVEIS 3
1055175;CAR BOV RESF QUALITY COX MOLE FRAC;1 - KG;6070;PERECIVEIS 3
1054847;CAR BOV RESF QUALITY COXAO DURO KG;1 - KG;6042;PERECIVEIS 3
1054784;CAR BOV RESF QUALITY CT FILE CHORI KG;1 - KG;6036;PERECIVEIS 3
1054846;CAR BOV RESF QUALITY FILE COSTELA;1 - KG;6041;PERECIVEIS 3
1054845;CAR BOV RESF QUALITY FILE MIGNON KG;1 - KG;6039;PERECIVEIS 3
1054785;CAR BOV RESF QUALITY FRALDA PREM KG;1 - KG;6037;PERECIVEIS 3
1054848;CAR BOV RESF QUALITY FRALDINHA KG;1 - KG;6044;PERECIVEIS 3
1054851;CAR BOV RESF QUALITY LAGARTO KG;1 - KG;6047;PERECIVEIS 3
1054850;CAR BOV RESF QUALITY MAMINHA GRILL;1 - KG;6046;PERECIVEIS 3
1054868;CAR BOV RESF QUALITY MAMINHA KG;1 - KG;6049;PERECIVEIS 3
1054869;CAR BOV RESF QUALITY MAMINHA MAT KG;1 - KG;6050;PERECIVEIS 3
1054787;CAR BOV RESF QUALITY MAMINHA PREM KG;1 - KG;6048;PERECIVEIS 3
1054852;CAR BOV RESF QUALITY MIOLO ALC BB;1 - KG;6051;PERECIVEIS 3
1054854;CAR BOV RESF QUALITY MIOLO ALC GRI;1 - KG;6053;PERECIVEIS 3
1055187;CAR BOV RESF QUALITY MIOLO ALC KG;1 - KG;6072;PERECIVEIS 3
1054853;CAR BOV RESF QUALITY MIOLO ALC MAT KG;1 - KG;6052;PERECIVEIS 3
1054859;CAR BOV RESF QUALITY PALETA KG;1 - KG;6056;PERECIVEIS 3
1054860;CAR BOV RESF QUALITY PATINHO KG;1 - KG;6058;PERECIVEIS 3
1054872;CAR BOV RESF QUALITY PEITO KG;1 - KG;6066;PERECIVEIS 3
1054867;CAR BOV RESF QUALITY PEIXINHO PREM KG;1 - KG;6067;PERECIVEIS 3
1054861;CAR BOV RESF QUALITY PICANHA FRAC KG;1 - KG;6059;PERECIVEIS 3
1054864;CAR BOV RESF QUALITY PICANHA GRILL KG;1 - KG;6062;PERECIVEIS 3
1054865;CAR BOV RESF QUALITY PICANHA KG;1 - KG;6063;PERECIVEIS 3
1054866;CAR BOV RESF QUALITY RAQUETE PREM KG;1 - KG;6065;PERECIVEIS 3
87259;CAR BOV RESF RECORTE COXAO MOLE MO;1 - KG;3095;PERECIVEIS 3
95595;CAR BOV RESF SEARA BABY BEEF KG CHURRASCO;1 - KG;3784;PERECIVEIS 3
95569;CAR BOV RESF SEARA BIFE CHORIZO KG CHURRASCO;1 - KG;3782;PERECIVEIS 3
95612;CAR BOV RESF SEARA FILE COSTELA KG CHURRASCO;1 - KG;3785;PERECIVEIS 3
95613;CAR BOV RESF SEARA FRALDINHA KG CHURRASCO;1 - KG;3788;PERECIVEIS 3
95614;CAR BOV RESF SEARA MAM ALCATRA KG CHURRASCO;1 - KG;3789;PERECIVEIS 3
1097417;CAR BOV RESF T ANCHO KG;1 - KG;10917160001;PERECIVEIS 3
1097417;CAR BOV RESF T ANCHO KG;1 - KG;7005;PERECIVEIS 3
1097416;CAR BOV RESF T CHORIZO S/OSSO KG;1 - KG;10917150001;PERECIVEIS 3
1097416;CAR BOV RESF T CHORIZO S/OSSO KG;1 - KG;7004;PERECIVEIS 3
1019965;CAR BOV RESF T DELIZIARE KG CONTRA FILE;1 - KG;5049;PERECIVEIS 3
1019966;CAR BOV RESF T DELIZIARE KG COST C/O;1 - KG;5051;PERECIVEIS 3
1019911;CAR BOV RESF T DELIZIARE KG COSTELA S/O;1 - KG;5055;PERECIVEIS 3
1019909;CAR BOV RESF T DELIZIARE KG MIOLO ALCATRA;1 - KG;5053;PERECIVEIS 3
1019910;CAR BOV RESF T DELIZIARE KG PICANHA FATIADA;1 - KG;5054;PERECIVEIS 3
15808;CAR BOV RESF TEMP CUPIM CORINGA KG;1 - KG;4978;PERECIVEIS 7
1096548;CAR BOV SALG CHARQUITO 2PELOS/PEITO MI FC;1 - KG;7056;PERECIVEIS 7
1029315;CAR BOV SALG COMIDA TIP ALCATRA KG;1 - KG;5352;PERECIVEIS 3
1029316;CAR BOV SALG COMIDA TIP CONTRA FILE KG;1 - KG;5353;PERECIVEIS 3
1029317;CAR BOV SALG COMIDA TIP MAMINHA KG;1 - KG;5354;PERECIVEIS 3
1029318;CAR BOV SALG COMIDA TIP PICANHA KG;1 - KG;5355;PERECIVEIS 3
1043763;CAR BOV SALG COXAO SOROCABA KG;1 - KG;5554;PERECIVEIS 7
1058850;CAR BOV SALG DIANT CHARQUITO FC;1 - KG;6226;PERECIVEIS 7
1116812;CAR BOV SALG JAO P AG FC;1 - KG;7376;PERECIVEIS 7
1130070;CAR BOV SALG PLENA COXAO DURO KG;1 - KG;7562;PERECIVEIS 3
1130071;CAR BOV SALG PLENA COXAO MOLE;1 - KG;7563;PERECIVEIS 3
1071182;CAR BOV SALG TRAS CORINGA KG;1 - KG;6676;PERECIVEIS 7
64025;CAR BOV SALG TRAS CX KG;1 - KG;1273;PERECIVEIS 7
64025;CAR BOV SALG TRAS CX KG;1 - KG;640250001;PERECIVEIS 7
1068062;CAR BOV SALG TRAS FRIBOI KG;1 - KG;10680620001;PERECIVEIS 7
1068062;CAR BOV SALG TRAS FRIBOI KG;1 - KG;6518;PERECIVEIS 7
73030;CAR BOV SOL COXAO MOLE KG;1 - KG;2099;PERECIVEIS 3
73030;CAR BOV SOL COXAO MOLE KG;1 - KG;730300001;PERECIVEIS 3
73030;CAR BOV SOL COXAO MOLE KG;30 - CX;730300030;PERECIVEIS 3
73030;CAR BOV SOL COXAO MOLE KG;60 - CX;730300060;PERECIVEIS 3
68661;CAR BOV TEMP ESTRELA CONTRA FILE KG;1 - KG;1614;PERECIVEIS 3
68665;CAR BOV TEMP ESTRELA COSTELA KG;1 - KG;1620;PERECIVEIS 3
68662;CAR BOV TEMP ESTRELA FRALDAO KG;1 - KG;1615;PERECIVEIS 3
68667;CAR BOV TEMP ESTRELA LAGARTO KG;1 - KG;1622;PERECIVEIS 3
68626;CAR BOV TEMP ESTRELA MAMINHA KG;1 - KG;1613;PERECIVEIS 3
68663;CAR BOV TEMP ESTRELA MIOLO ALCATRA KG;1 - KG;1617;PERECIVEIS 3
68666;CAR BOV TEMP ESTRELA PEITO KG;1 - KG;1621;PERECIVEIS 3
68664;CAR BOV TEMP ESTRELA PICANHA KG;1 - KG;1619;PERECIVEIS 3
68627;CAR BOV TEMP ESTRELA PONTA DO CONTR KG;1 - KG;1616;PERECIVEIS 3
33090;CAR BOV TEMP GOLD MEAT COST S/O KG;1 - KG;9140;PERECIVEIS 3
